12PI-1
Software engineering
Кононов Емельян Тимурович
Котов Моисей Сергеевич
Романов Устин Геласьевич
Андреев Илья Михайлович
Зимин Клемент Тихонович
Гуляев Варлам Станиславович
Николаев Аверкий Наумович
Мясников Ефрем Вячеславович
Блохин Альберт Пётрович
Сафонов Кондратий Михаилович
Шашков Павел Кимович
Кузнецов Адриан Сергеевич
Поляков Леонид Алексеевич
Архипов Прохор Матвеевич
Беляев Лука Ярославович
Назарова Фрида Германовна
Агафонова Таира Семеновна
Гуляева Юлиана Донатовна
Брагина Винетта Альвиановна
Казакова Нева Вениаминовна
Бирюкова Лидия Валерьевна
Горбунова Лариса Станиславовна
Комарова Анна Серапионовна
Лихачёва Фрида Якововна
Бирюкова Гражина Дмитриевна
Петрова Эллина Яковлевна
Зайцева Юланта Романовна
Крылова Василиса Даниловна
Воронцова Лилия Олеговна
Филатова Янита Олеговна
