12PMI-1
Applied mathematics and computer science
Кудрявцева Ярослава Игнатьевна
Авдеева Калерия Эльдаровна
Игнатова Веселина Демьяновна
Уварова Версавия Николаевна
Орлова Веселина Вячеславовна
Калинина Эстелла Викторовна
Павлова Анисья Львовна
Зиновьева Нева Серапионовна
Белоусова Триана Эдуардовна
Харитонова Элизабет Тарасовна
Калинина Лика Ильяовна
Суворова Юнона Парфеньевна
Логинова Эжени Леонидовна
Архипова Лилия Эдуардовна
Веселова Нелли Валерьяновна
Фомичёв Демьян Артёмович
Жуков Петр Георгиевич
Игнатьев Мартын Созонович
Дмитриев Оскар Миронович
Архипов Демьян Лукьянович
Дмитриев Абрам Натанович
Воробьёв Лаврентий Ильяович
Никифоров Аким Яковович
Кононов Пантелеймон Аркадьевич
Александров Лев Дмитрьевич
Осипов Людвиг Мэлорович
Владимиров Аввакум Иринеевич
Селиверстов Лазарь Семёнович
Филиппов Юлиан Юлианович
Суворов Аверкий Анатольевич
