13FM-1
Fundamental mathematics
Комаров Болеслав Романович
Потапов Прохор Филиппович
Афанасьев Гаянэ Улебович
Беляев Рубен Максимович
Блинов Бронислав Филиппович
Васильев Зиновий Денисович
Терентьев Тимофей Рубенович
Тихонов Вольдемар Донатович
Самсонов Аверьян Аристархович
Фёдоров Игнатий Георгиевич
Пестов Аверьян Дмитрьевич
Сафонов Самуил Агафонович
Зуев Константин Георгиевич
Котов Максимилиан Альвианович
Аксёнов Вениамин Даниилович
Бобылёва Авигея Мэлсовна
Русакова Дания Семёновна
Афанасьева Мия Семёновна
Ширяева Артемида Эльдаровна
Кондратьева Иоанна Пётровна
Королёва Эрида Викторовна
Пахомова Динара Владиславовна
Панфилова Аза Мартыновна
Мельникова Фия Степановна
Елисеева Феодосия Алексеевна
Гаврилова Лидия Тарасовна
Юдина Таира Евгеньевна
Калинина Дина Авксентьевна
Исаева Марина Якововна
Лыткина Эмма Андреевна
