Чегодаев Михаил Епифанович
Самошин Аристарх Афанасиевич
Якубович Павел Леонидович
Канадов Данил Евграфович
Булыгин Ефим Тимурович
Скворцов Яков Глебович
Стародубцев Агафон Валериевич
Борисов Парфен Натанович
Кравцов Самуил Евлампиевич
Ярыкин Агап Якубович
Беломестный Касьян Тихонович
Груздев Елисей Иосифович
Ячменьков Глеб Климентович
Сухарев Юлиан Адрианович
Шубин Ипполит Вадимович
Блохин Назар Вячеславович
Юсупов Якуб Данилевич
Катин Клавдий Чеславович
Фокин Сигизмунд Панкратиевич
Шостенко Макар Касьянович
Живенков Егор Аникитевич
Райков Тихон Эдуардович
Никитин Петр Федотович
Белолипецкий Андриян Казимирович
Чернявский Герман Ильевич
Пелевин Прохор Куприянович
Травкин Станислав Изяславович
Осинцев Зиновий Феликсович
Юханцев Трофим Сидорович
Каганович Матвей Венедиктович
Пономарёв Прокофий Иннокентиевич
Царёв Мирослав Капитонович
Косоруков Иннокентий Андреевич
Двойнев Борислав Трофимович
Фирсов Эдуард Ипполитович
Родионов Дмитрий Ерофеевич
Садыков Михей Федорович
Буковски Никанор Алексеевич
Левченко Святослав Викентиевич
Тимашев Владислав Гаврилевич
Ягупов Адам Дмитриевич
Чупов Лаврентий Наумович
Проскура Семён Миронович
Боголепов Панкратий Мартьянович
Валеев Эрнест Титович
Андрюшин Мефодий Никанорович
Чендев Федор Ростиславович
Янин Нестор Адамович
Былинкин Никон Арсениевич
Анреп Максим Сигизмундович
