1:Vasya Pupkin:gr1
2:Tanya Petrova:gr3
3:Petya Ivanov:gr2
4:Masha Zaitseva:gr2
5:Virginius Mitchell:gr2
6:Harlan Lopez:gr3
7:Jake Perry:gr1
8:Zeke Sanchez:gr2
9:Paolo Hernandez:gr3
10:Samir Patterson:gr1
11:Braxton Long:gr1
12:Joshua Mitchell:gr3
13:Liam Robinson:gr2
14:Quinton Long:gr2
15:Zack Hall:gr3
16:Xaviell Robinson:gr1
17:Quinnton Bryant:gr3
18:Jonah Barnes:gr2
19:Austin Sanchez:gr1
20:Diego Watson:gr1
21:Gerardo Butler:gr2
22:Luis Lewis:gr3
23:Wiley Parker:gr2
24:Zachery Cooper:gr3
25:Andres Campbell:gr1
26:Qadry Henderson:gr1
27:Urias Barnes:gr2
28:Cannon Murphy:gr3
29:Yitzchak Phillips:gr1
30:Uthman Bailey:gr3
31:Osiris Williams:gr2
32:Ubaldo Robinson:gr1
33:Kieran Rodriguez:gr2
34:Thatcher Sanchez:gr3
