18ПМИ-1 Прикладная Математика и Информатика Староста - Кучава Эммануил Зиновиевич
Прилуцкий Потап Федотович
Мосяков Кондратий Ипатович
Ревягин Харитон Эмилевич
Котяш Павел Сократович
Минин Афанасий Пахомович
Свистовский Никита Натанович
Лагошин Захар Артемиевич
Ягудин Олег Егорович
Баранов Сидор Родионович
Царёв Иосиф Евстафиевич
Букирь Юрий Изяславович
Поляков Дмитрий Иванович
Козин Платон Афанасиевич
Бухало Федор Архипович
Закрятин Матвей Самсонович
Аронов Макар Демьянович
Кучава Эммануил Зиновиевич
Полыгалова Бронислава Мирославовна
Пушменкова Виктория Никифоровна
Боркова Жанна Денисовна
Глушакова Рада Лукьяновна
Мишина Василиса Владиленовна
Тычинина Аза Казимировна
Лачкова Ева Вацлавовна
Ядучева Алиса Капитоновна
18ПМИ-2 Прикладная Математика и Информатика Староста - Родионов Иван Викентиевич
Францев Лука Кондратиевич
Шелагин Владислав Михаилович
Пчельников Прокофий Всеволодович
Степнов Григорий Владиславович
Карюгин Агафон Геннадиевич
Кувшинов Андрей Прокофиевич
Булгаков Михей Несторович
Родионов Иван Викентиевич
Низовцев Феликс Назарович
Хренов Вацлав Модестович
Пугачёв Василий Дмитриевич
Гаголина Евдокия Клавдиевна
Теребова Изабелла Емельяновна
Медведева Валерия Ивановна
Лебединская Елена Прокофьевна
Рождественская Ариадна Никоновна
Цедлица Ефросинья Марковна
Бикеева Марта Игнатиевна
Юнкина Мария Ростиславовна
Воропаева Инна Серафимовна
18ПИ-1 Программная инженерия Староста - Благово Агния Рюриковна
Китаев Ефрем Эдуардович
Сонин Мартын Проклович
Габулов Мирослав Климентович
Бялик Капитон Алексеевич
Умский Святослав Даниилович
Кокорев Максим Епифанович
Якушов Кир Иосифович
Мазурин Тихон Евгениевич
Крутелев Наум Адрианович
Зиновьева Светлана Афанасиевна
Комзина Инга Евсеевна
Якова Валентина Карповна
Домашева Майя Вадимовна
Дежнёва Полина Максимильяновна
Меншикова Эльвира Валерьевна
Стрельцова Розалия Кузьмевна
Абрамович Ульяна Бориславовна
Поджио Римма Михеевна
Рюмова Мирослава Глебовна
Куксюк Всеслава Павловна
Благово Агния Рюриковна
Яцкевича Надежда Арсентиевна
18ПИ-2 Программная инженерия Староста - Ромазан Арсений Платонович
Харламов Ипполит Андронович
Ромазан Арсений Платонович
Подчасов Мстислав Артемович
Уксюзов Владилен Якубович
Головаха Елисей Евлампиевич
Русинов Ираклий Трофимович
Штыков Измаил Гаврилевич
Хоботилов Онисим Георгиевич
Каприянов Осип Вадимович
Смелоч Порфирий Михеевич
Соломин Рюрик Иннокентиевич
Канунников Моисей Захарович
Данькин Никифор Сергеевич
Карева Любава Евремовна
Елагина Антонина Порфириевна
Забродина Ольга Михаиловна
Магазинер Юлия Агафоновна
Ясевич Клара Харитоновна
Карявина Инесса Александровна
Бондарева Лада Ульяновна
Пустоходова Алла Варфоломеевна
Шатохина Кира Поликарповна
Яцышина Раиса Георгиевна
Бармыкина Лариса Анатолиевна
Кудашева Ксения Владиславовна
Ямилова Агафья Федотовна
Молодыха Нина Валентиновна
Есаулова Екатерина Станиславовна
Жидкова Доминика Агаповна
Десяткова Оксана Карловна
Алленова Изольда Иннокентиевна
Милорадова Лиана Сигизмундовна
Жикина Диана Лаврентиевна
