Рейтинг
Количество студентов: 97
Панфилов Ян - 4
Смирнов Модест - 4
Воронов Гарри - 4
Коновалов Пантелей - 4
Русаков Святослав - 4
Антонов Ефрем - 4
Ильин Вячеслав - 4
Кондратьев Игнатий - 4
Якушев Роберт - 4
Поляков Вальтер - 4
Овчинников Виктор - 4
Большакова Ванда - 4
Новикова Данна - 4
Комарова Алира - 4
Сафонова Цветана - 4
Белякова Мариша - 4
Елисеева Гражина - 4
Колесникова Весняна - 4
Фадеева Рая - 4
Никифорова Лидия - 4
Романова Янита - 4
Волкова Валерия - 4
Лыткина Татьяна - 4
Кулакова Эльга - 4
Копылова Вера - 4
Муравьёва Диодора - 4
Константинов Николай - 5
Белов Устин - 5
Шестаков Гордей - 5
Королёв Герман - 5
Емельянов Валентин - 5
Суворов Людвиг - 5
Исаев Трофим - 5
Гришин Орест - 5
Быков Климент - 5
Медведев Родион - 5
Логинов Станислав - 5
Алексеев Нисон - 5
Белозёров Ефрем - 5
Щукин Ираклий - 5
Федотов Май - 5
Константинов Вениамин - 5
Русаков Валентин - 5
Владимиров Николай - 5
Коновалов Терентий - 5
Анисимов Игнатий - 5
Шарапова Фаина - 5
Ефремова Наоми - 5
Васильева Валерия - 5
Кабанова Аюна - 5
Никифорова Динара - 5
Фокина Лали - 5
Лыткина Анита - 5
Белоусова Анжела - 5
Соловьёва Мария - 5
Родионова Властилина - 5
Воронова Мишель - 5
Николаева Анжиолетта - 5
Анисимова Динара - 5
Муравьёва Маргарита - 5
Белозёрова София - 5
Дьячкова Марфа - 5
Горшкова Янита - 5
Артемьева Сандра - 5
Костина Чеслава - 5
Лыткин Севастьян - 6
Рыбаков Азарий - 6
Герасимов Родион - 6
Селезнёв Август - 6
Бирюков Глеб - 6
Кондратьев Иосиф - 6
Кириллов Абрам - 6
Громов Адам - 6
Ковалёв Павел - 6
Родионов Илья - 6
Калашников Арсений - 6
Мартынов Панкратий - 6
Нестеров Михаил - 6
Костин Донат - 6
Ширяева Мария - 6
Брагина Азалия - 6
Громова Александрина - 6
Кондратьева Моника - 6
Иванова Карина - 6
Воронцова Берта - 6
Егорова Томила - 6
Жукова Эрида - 6
Костина Мия - 6
Емельянова Лали - 6
Фомина Гертруда - 6
Владимирова Анита - 6
Голубева Адельфина - 6
Пономарёва Габи - 6
Малышева Екатерина - 6
Лебедев Остап - 7
Меркушев Всеволод - 7
Козлов Адриан - 7
18PM1 - 5.35294
18PMI2 - 4.90909
18PMI3 - 5.11765
