Евсеев Юлий Михеевич_18ПМИ-2
Уржумцев Емельян Феоктистович_18ПМИ-2
Негес Лука Федосиевич_18ПМИ-2
Берёзкин Радион Герасимович_18ПМИ-2
Озеров Вячеслав Казимирович_18ПМИ-2
Шишканов Никон Аникитевич_18ПМИ-2
Батурин Еремей Гордеевич_18ПМИ-2
Просвирнин Тимофей Егорович_18ПМИ-2
Игнаткович Сидор Георгиевич_18ПМИ-2
Убыш Андрон Модестович_18ПМИ-2
Бабыкин Мир Сократович_18ПМИ-2
Помельников Дмитрий Владимирови_18ПМИ-2
Хрущёв Юрий Сигизмундович_18ПМИ-2
Аглеев Олег Чеславович_18ПМИ-2
Краснянский Артемий Еремеевич_18ПМИ-2
Беляев Владислав Самсонович_18ПМИ-2
Поварницын Ипатий Куприянович_18ПМИ-2
Чечуров Порфирий Ефремович_18ПМИ-2
Едемский Михей Андронович_18ПМИ-2
Квасков Феофан Владиславович_18ПМИ-2
Астафьев Рубен Андриянович_18ПМИ-2
Братцев Мартьян Артемович_18ПМИ-2
Власов Даниил Ираклиевич_18ПМИ-2
Мазаев Евдоким Титович_18ПМИ-2
Лисицын Поликарп Измаилович_18ПМИ-2
Поветников Макар Елизарович_18ПМИ-2
Дуболадов Потап Никитевич_18ПМИ-2
Куксов Валентин Мартьянович_18ПМИ-2
Кулагин Осип Анатолиевич_18ПМИ-2
Витинский Елизар Родионович_18ПМИ-2
Грош Касьян Трофимович_18ПМИ-2
Булдаков Прохор Андреевич_18ПМИ-2
Попырин Всеслав Капитонович_18ПМИ-2
Фаммус Анатолий Серафимович_18ПМИ-2
Селезнев Натан Иннокентиевич_18ПМИ-2
Данилов Нестор Дмитриевич_18ПМИ-2
Милютин Иван Леонович_18ПМИ-2
Габулов Руслан Давидович_18ПМИ-2
Нырков Авдей Кириллович_18ПМИ-2
Онегин Измаил Эдуардович_18ПМИ-2
Казьмин Евгений Тимурович_18ПМИ-2
Краснобаев Антип Онисимович_18ПМИ-2
Ягафаров Юлиан Вадимович_18ПМИ-2
Маслов Аристарх Брониславович_18ПМИ-2
Селиванов Аскольд Феликсович_18ПМИ-2
Аристов Игнатий Алексеевич_18ПМИ-2
Коржуков Ерофей Федорович_18ПМИ-2
Куксилин Виссарион Потапович_18ПМИ-2
Елешев Севастьян Евлампиевич_19БИ-2
Рагозин Захар Григориевич_19БИ-2
Клинских Елисей Адрианович_19БИ-2
Лопатин Архип Валерьянович_19БИ-2
Сёмин Денис Ипполитович_19БИ-2
Хованский Савелий Остапович_19БИ-2
Райт Саввелий Маркович_19БИ-2
Кондаков Изяслав Давыдович_19БИ-2
Ясев Рюрик Платонович_19БИ-2
Мяукин Федор Арсениевич_19БИ-2
Букирь Эрнест Иосифович_19БИ-2
Васнецов Феликс Артемиевич_18ПМИ-1
Элиашев Герасим Гаврилевич_18ПМИ-1
Грачёв Григорий Афанасиевич_18ПМИ-1
Смольников Леонид Макарович_18ПМИ-1
Янаев Мартын Тихонович_18ПМИ-1
Хабибуллин Марк Семенович_18ПМИ-1
Фунтусов Кузьма Эрнестович_18ПМИ-1
Ковпак Богдан Ерофеевич_18ПМИ-1
Коденко Остап Моисеевич_18ПМИ-1
Яскевич Лавр Вячеславович_18ПМИ-1
Громыко Евграф Денисович_18ПМИ-1
Маклаков Платон Ипатиевич_18ПМИ-1
Шульга Прокофий Венедиктович_18ПМИ-1
Борхес Антон Олегович_18ПМИ-1
Лапаев Тарас Ульянович_18ПМИ-1
Ивакин Ким Игнатиевич_18ПМИ-1
Явчуновский Тихон Леонтиевич_18ПМИ-1
Петухов Леондий Савелиевич_18ПМИ-1
Авилов Соломон Михаилович_18ПМИ-1
Шандаров Ираклий Касьянович_18ПМИ-1
Шентеряков Виктор Викентиевич_18ПМИ-1
Компанец Мирослав Демьянович_18ПМИ-1
Красенков Бронислав Евграфович_18ПМИ-1
Рогозин Онисим Андроникович_18ПМИ-1
Курепин Агап Мирославович_18ПМИ-1
Стародубов Онуфрий Наумович_18ПМИ-1
Антипин Федот Данилевич_18ПМИ-1
Гарифуллин Эрнст Захарович_18ПМИ-1
Сарнычев Афанасий Натанович_18ПМИ-1
Сурков Георгий Аполлинариевич_17ПИ-1
Грицевец Владимир Фомевич_17ПИ-1
Унгерн Тит Карлович_17ПИ-1
Погодин Вацлав Богданович_17ПИ-1
Этуш Михаил Кондратиевич_17ПИ-1
Царицын Яков Назарович_17ПИ-1
Ажищенков Ярослав Панкратиевич_17ПИ-1
Саньков Александр Прохорович_17ПИ-1
Подкользин Валерий Святославович_17ПИ-1
Килик Владлен Ильевич_17ПИ-1
Барболин Владилен Яковович_17ПИ-1
Яхаев Модест Самуилович_17ПИ-1
