Капустин Авраам Лукьянович:2:БИ:default:3:5
Гущин Архип Алексеевич:9:БИ:default:9:8
Устинов Зиновий Гордеевич:18:БИ:default:7:6
Давыдов Исак Валерьевич:19:БИ:default:3:6
Блинов Кондрат Созонович:26:БИ:default:0:9
Емельянов Осип Иванович:31:БИ:default:7:3
Мышкин Гавриил Матвеевич:36:БИ:default:7:2
Фомина Неолина Митрофановна:51:БИ:default:5:7
Калашникова Романа Филипповна:53:БИ:default:5:4
Комарова Варвара Наумовна:95:БИ:default:7:1
Овчинникова Варвара Лукьевна:98:БИ:default:7:7
Веселов Иосиф Еремеевич:4:ПИ:default:7:7
Одинцов Станислав Романович:12:ПИ:default:5:9
Воронцов Юрий Куприянович:17:ПИ:default:9:8
Журавлёв Руслан Игоревич:30:ПИ:default:1:8
Фокин Дональд Даниилович:39:ПИ:default:2:6
Брагина Сандра Михаиловна:63:ПИ:default:3:8
Тимофеева Илена Георгьевна:73:ПИ:default:0:9
Гущина Капитолина Пантелеймоновна:75:ПИ:head:4:7
Сергеева Кара Демьяновна:76:ПИ:default:8:3
Виноградов Климент Максимович:34:ПМИ:default:8:9
Никитин Вальтер Пантелеймонович:41:ПМИ:default:8:4
Гурьев Аверкий Антонович:45:ПМИ:default:3:9
Панфилов Вилли Лукьевич:49:ПМИ:default:8:8
Носков Юстиниан Куприянович:50:ПМИ:default:0:8
Бобылёва Клавдия Авксентьевна:57:ПМИ:default:7:7
Титова Мишель Ивановна:60:ПМИ:default:8:3
Русакова Милда Викторовна:65:ПМИ:default:8:3
Елисеева София Федосеевна:70:ПМИ:default:7:1
Соболева Аксинья Гордеевна:82:ПМИ:head:9:6
Костина Эмма Аркадьевна:94:ПМИ:default:0:9
Казакова Зоя Георгиевна:96:ПМИ:default:9:6
Петрова Ася Валентиновна:97:ПМИ:default:8:3
Евдокимов Герасим Авксентьевич:1:ЭКОНОМ:default:4:8
Красильников Август Робертович:13:ЭКОНОМ:default:4:9
Аксёнов Осип Максович:15:ЭКОНОМ:default:9:2
Волков Емельян Степанович:16:ЭКОНОМ:default:5:5
Данилов Артур Артёмович:21:ЭКОНОМ:default:3:7
Гусев Модест Юрьевич:28:ЭКОНОМ:default:8:0
Фёдоров Альфред Вадимович:32:ЭКОНОМ:default:8:8
Сорокин Дональд Протасьевич:42:ЭКОНОМ:default:8:1
Шаров Виктор Парфеньевич:47:ЭКОНОМ:default:9:8
Зайцев Натан Якунович:48:ЭКОНОМ:default:9:7
Комарова Александрина Вениаминовна:61:ЭКОНОМ:default:8:2
Королёва Светлана Евгеньевна:66:ЭКОНОМ:default:8:9
Ершова Влада Агафоновна:77:ЭКОНОМ:head:8:1
Мельникова Винетта Максовна:78:ЭКОНОМ:default:5:8
Доронина Ева Борисовна:89:ЭКОНОМ:default:8:6
Бирюкова Романа Давидовна:93:ЭКОНОМ:default:2:6
Пестова Элизабет Германовна:100:ЭКОНОМ:default:5:3
Николаева Ядвига Макаровна:99:ЭКОНОМ:default:1:9
Романов Геннадий Романович:3:ЮРИСТ:default:9:2
Мамонтов Нелли Юрьевич:5:ЮРИСТ:default:4:6
Соколов Виссарион Витальевич:6:ЮРИСТ:default:1:8
Денисов Трофим Рудольфович:22:ЮРИСТ:default:1:9
Бобров Панкрат Павлович:35:ЮРИСТ:head:7:6
Евсеев Овидий Эльдарович:38:ЮРИСТ:default:2:9
Бобылёва Властилина Владленовна:52:ЮРИСТ:default:3:9
Маслова Софья Рубеновна:56:ЮРИСТ:default:1:8
Чернова Амина Онисимовна:59:ЮРИСТ:default:1:9
Агафонова Аэлита Филипповна:69:ЮРИСТ:default:5:3
Фомина Инесса Вадимовна:83:ЮРИСТ:default:8:6
Воробьёва Адель Юрьевна:84:ЮРИСТ:default:7:7
Уварова Дания Михайловна:92:ЮРИСТ:default:9:4
